model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Kyle Stowers,Miami Marlins,Chicago Cubs,Javier Assad,1,loanDepot park,135,10.0,Elite,9.5,8.2,8.7,8.2,7.1,6.5,10.0,84.91999999999999,4.4738712000000005,251.0,9.5,8.5,9.4,9.9,Lineup context + Hitter skill,False,0.8704166666666667,0.8704166666666667
2,Joshua Báez,St. Louis Cardinals,Colorado Rockies,Mason Adams,6,Coors Field,207,10.0,Elite,9.1,9.2,9.3,9.2,10.0,5.3,5.0,93.92,3.9146373,270.0,8.6,8.0,7.8,9.0,Ballpark + Pitcher vulnerability,False,0.8558333333333333,0.8558333333333333
3,Esmerlyn Valdez,Pittsburgh Pirates,Los Angeles Angels,Yusei Kikuchi,2,PNC Park,74,9.9,Elite,9.5,9.1,9.9,9.1,4.3,6.5,9.0,76.64,3.6039518,360.0,6.6,4.5,2.2,8.3,Pitcher vulnerability + Hitter skill,False,0.8322222222222222,0.8322222222222222
4,Ketel Marte,Arizona Diamondbacks,Houston Astros,Ethan Pecko,4,Daikin Park,111,9.9,Elite,9.8,9.0,9.0,9.0,6.0,5.5,7.0,,,,3.5,4.9,7.0,6.4,Hitter skill + Pitcher vulnerability,False,0.8091666666666667,0.8091666666666667
5,Hunter Goodman,Colorado Rockies,St. Louis Cardinals,Matthew Liberatore,3,Coors Field,207,9.9,Elite,7.9,9.5,8.4,9.5,10.0,5.3,8.0,93.92,3.9146373,270.0,3.5,9.6,8.8,7.8,Ballpark + Pitch-type matchup,False,0.7970833333333334,0.7970833333333334
6,Thomas Saggese,St. Louis Cardinals,Colorado Rockies,Mason Adams,8,Coors Field,207,9.8,Elite,8.0,9.9,9.3,9.9,10.0,5.3,3.0,93.92,3.9146373,270.0,9.9,9.5,2.9,5.0,Ballpark + Pitch-type matchup,False,0.7943055555555555,0.7943055555555555
7,Nolan Gorman,St. Louis Cardinals,Colorado Rockies,Mason Adams,7,Coors Field,207,9.8,Elite,8.8,9.2,9.3,9.2,10.0,5.3,4.0,93.92,3.9146373,270.0,3.5,6.3,2.7,9.0,Ballpark + Pitcher vulnerability,False,0.7906944444444445,0.7906944444444445
8,Griffin Conine,Miami Marlins,Chicago Cubs,Javier Assad,3,loanDepot park,135,9.8,Elite,9.6,8.4,8.7,8.4,7.1,6.5,8.0,84.91999999999999,4.4738712000000005,251.0,3.5,2.2,2.1,6.8,Hitter skill + Pitcher vulnerability,False,0.7713888888888888,0.7713888888888888
9,Zack Gelof,Athletics,Seattle Mariners,George Kirby,3,T-Mobile Park,37,9.7,Elite,9.8,8.4,7.2,8.4,2.7,5.5,8.0,,,,9.6,7.8,5.5,6.6,Hitter skill + Recent power,False,0.7684722222222222,0.7684722222222222
10,Cal Raleigh,Seattle Mariners,Athletics,Jeffrey Springs,4,T-Mobile Park,37,9.7,Elite,7.1,7.9,9.6,7.9,2.7,5.5,7.0,,,,9.0,9.5,7.2,9.6,Pitcher vulnerability + Recent power,False,0.7554166666666666,0.7554166666666666
11,Bryan Reynolds,Pittsburgh Pirates,Los Angeles Angels,Yusei Kikuchi,3,PNC Park,74,9.7,Elite,8.9,3.5,9.9,3.5,4.3,6.5,8.0,76.64,3.6039518,360.0,3.5,9.0,9.2,9.4,Pitcher vulnerability + Hitter skill,False,0.7529166666666666,0.7529166666666666
12,Iván Herrera,St. Louis Cardinals,Colorado Rockies,Mason Adams,2,Coors Field,207,9.6,Elite,9.7,4.3,9.3,4.3,10.0,5.3,9.0,93.92,3.9146373,270.0,6.0,2.7,3.6,5.5,Ballpark + Hitter skill,False,0.7513888888888889,0.7513888888888889
13,Leo Bernal,St. Louis Cardinals,Colorado Rockies,Mason Adams,5,Coors Field,207,9.6,Elite,6.5,7.2,9.3,7.2,10.0,5.3,6.0,93.92,3.9146373,270.0,8.2,7.2,10.0,10.0,Ballpark + Pitcher vulnerability,False,0.7497222222222223,0.7497222222222223
14,Rafael Devers,San Francisco Giants,New York Mets,Zac Thornton,2,Citi Field,101,9.6,Elite,9.3,9.5,4.2,9.5,5.5,6.6,9.0,78.44,5.592339,355.0,10.0,9.6,7.7,10.0,Recent power + Pitch-type matchup,False,0.7465277777777778,0.7465277777777778
15,Alec Burleson,St. Louis Cardinals,Colorado Rockies,Mason Adams,3,Coors Field,207,9.5,Elite,6.2,8.7,9.3,8.7,10.0,5.3,8.0,93.92,3.9146373,270.0,3.5,5.8,9.3,8.8,Ballpark + Pitcher vulnerability,False,0.7425,0.7425
16,Pete Crow-Armstrong,Chicago Cubs,Miami Marlins,Ryan Gusto,1,loanDepot park,135,9.5,Elite,9.1,9.2,4.8,9.2,7.1,6.5,10.0,84.91999999999999,4.4738712000000005,251.0,6.3,8.9,7.9,8.4,Lineup context + Pitch-type matchup,False,0.74125,0.74125
17,Colson Montgomery,Chicago White Sox,Minnesota Twins,Taj Bradley,5,Rate Field,69,9.5,Elite,9.3,9.6,5.7,9.6,4.1,5.5,6.0,,,,9.0,6.1,9.5,7.8,Pitch-type matchup + Hitter skill,False,0.7388888888888889,0.7388888888888889
18,Roman Anthony,Boston Red Sox,Baltimore Orioles,Chris Bassitt,1,Oriole Park at Camden Yards,110,9.4,Excellent,7.8,9.8,5.1,9.8,6.0,6.5,10.0,78.98,3.4175405,343.0,8.8,9.5,9.8,9.6,Lineup context + Pitch-type matchup,False,0.7359722222222222,0.7359722222222222
19,Corbin Carroll,Arizona Diamondbacks,Houston Astros,Ethan Pecko,5,Daikin Park,111,9.4,Excellent,9.9,4.3,9.0,4.3,6.0,5.5,6.0,,,,3.5,4.4,5.4,9.2,Hitter skill + Pitcher vulnerability,False,0.7315277777777778,0.7315277777777778
20,Rafael Flores Jr.,Pittsburgh Pirates,Los Angeles Angels,Yusei Kikuchi,6,PNC Park,74,9.4,Excellent,6.7,7.2,9.9,7.2,4.3,6.5,5.0,76.64,3.6039518,360.0,8.0,8.9,6.9,8.2,Pitcher vulnerability + Recent power,False,0.7283333333333333,0.7283333333333333
21,Gabriel Moreno,Arizona Diamondbacks,Houston Astros,Ethan Pecko,3,Daikin Park,111,9.3,Excellent,8.5,3.9,9.0,3.9,6.0,5.5,8.0,,,,7.6,8.0,6.6,9.1,Pitcher vulnerability + Hitter skill,False,0.7259722222222222,0.7259722222222222
22,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,Zack Wheeler,2,Citizens Bank Park,115,9.3,Excellent,8.7,7.4,6.9,7.4,6.2,6.6,9.0,79.7,6.027298699999999,358.0,6.1,6.7,5.7,7.9,Lineup context + Hitter skill,False,0.725,0.725
23,George Springer,Toronto Blue Jays,Kansas City Royals,Seth Lugo,2,Kauffman Stadium,168,9.3,Excellent,7.7,8.5,7.8,8.5,8.6,5.4,9.0,96.98,5.3437906,59.0,3.5,5.3,4.2,6.7,Lineup context + Ballpark,False,0.7137500000000001,0.7137500000000001
24,Kazuma Okamoto,Toronto Blue Jays,Kansas City Royals,Seth Lugo,6,Kauffman Stadium,168,9.2,Excellent,7.9,6.4,7.8,6.4,8.6,5.4,5.0,96.98,5.3437906,59.0,7.6,9.0,5.6,9.3,Ballpark + Hitter skill,False,0.7123611111111112,0.7123611111111112
25,Michael Conforto,Chicago Cubs,Miami Marlins,Ryan Gusto,8,loanDepot park,135,9.2,Excellent,9.7,8.2,4.8,8.2,7.1,6.5,3.0,84.91999999999999,4.4738712000000005,251.0,9.2,9.3,6.6,6.1,Hitter skill + Recent power,False,0.7044444444444443,0.7044444444444443
26,Lawrence Butler,Athletics,Seattle Mariners,George Kirby,4,T-Mobile Park,37,9.2,Excellent,9.0,8.8,7.2,8.8,2.7,5.5,7.0,,,,3.5,5.4,5.5,5.4,Hitter skill + Pitch-type matchup,False,0.7025,0.7025
27,Salvador Perez,Kansas City Royals,Toronto Blue Jays,Max Scherzer,4,Kauffman Stadium,168,9.1,Excellent,9.7,4.6,6.0,4.6,8.6,5.4,7.0,96.98,5.3437906,59.0,7.6,9.0,8.3,5.8,Hitter skill + Ballpark,False,0.700138888888889,0.700138888888889
28,Randy Arozarena,Seattle Mariners,Athletics,Jeffrey Springs,1,T-Mobile Park,37,9.1,Excellent,6.8,7.1,9.6,7.1,2.7,5.5,10.0,,,,8.8,7.0,2.3,5.3,Lineup context + Pitcher vulnerability,False,0.6991666666666667,0.6991666666666667
29,Austin Riley,Atlanta Braves,Philadelphia Phillies,Zack Wheeler,8,Citizens Bank Park,115,9.1,Excellent,9.2,8.0,6.9,8.0,6.2,6.6,3.0,79.7,6.027298699999999,358.0,3.5,7.3,5.1,5.7,Hitter skill + Pitch-type matchup,False,0.6983333333333333,0.6983333333333333
30,Vladimir Guerrero Jr.,Toronto Blue Jays,Kansas City Royals,Seth Lugo,3,Kauffman Stadium,168,9.0,Excellent,8.0,4.5,7.8,4.5,8.6,5.4,8.0,96.98,5.3437906,59.0,6.6,6.9,8.6,8.6,Ballpark + Hitter skill,False,0.6973611111111112,0.6973611111111112
31,Drake Baldwin,Atlanta Braves,Philadelphia Phillies,Zack Wheeler,1,Citizens Bank Park,115,9.0,Excellent,6.6,8.6,6.9,8.6,6.2,6.6,10.0,79.7,6.027298699999999,358.0,3.5,8.3,7.0,9.0,Lineup context + Pitch-type matchup,False,0.6863888888888888,0.6863888888888888
32,Max Muncy,Athletics,Seattle Mariners,George Kirby,6,T-Mobile Park,37,9.0,Excellent,8.8,7.6,7.2,7.6,2.7,5.5,5.0,,,,8.4,7.6,3.3,5.4,Hitter skill + Recent power,False,0.6851388888888889,0.6851388888888889
33,Otto Lopez,Miami Marlins,Chicago Cubs,Javier Assad,4,loanDepot park,135,8.9,Excellent,8.0,4.2,8.7,4.2,7.1,6.5,7.0,84.91999999999999,4.4738712000000005,251.0,3.5,7.2,7.8,6.3,Pitcher vulnerability + Hitter skill,False,0.6849999999999999,0.6849999999999999
34,Jake McCarthy,Colorado Rockies,St. Louis Cardinals,Matthew Liberatore,1,Coors Field,207,8.9,Excellent,7.4,5.1,8.4,5.1,10.0,5.3,10.0,93.92,3.9146373,270.0,6.1,7.4,5.6,2.1,Ballpark + Lineup context,False,0.6827777777777778,0.6827777777777778
35,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,Max Scherzer,2,Kauffman Stadium,168,8.9,Excellent,8.9,4.7,6.0,4.7,8.6,5.4,9.0,96.98,5.3437906,59.0,7.2,7.3,6.5,8.6,Lineup context + Hitter skill,False,0.6816666666666666,0.6816666666666666
36,Jackson Chourio,Milwaukee Brewers,Cincinnati Reds,Andrew Abbott,1,Great American Ball Park,81,8.8,Excellent,7.3,8.1,6.6,8.1,4.6,6.0,10.0,85.46000000000001,7.7050004,344.0,6.1,6.6,6.1,7.5,Lineup context + Pitch-type matchup,False,0.6745833333333333,0.6745833333333333
37,Ryan Jeffers,Minnesota Twins,Chicago White Sox,Anthony Kay,3,Rate Field,69,8.8,Excellent,9.9,7.0,5.4,7.0,4.1,5.5,8.0,,,,9.8,5.2,4.7,2.0,Hitter skill + Recent power,False,0.6737500000000001,0.6737500000000001
38,Dominic Canzone,Seattle Mariners,Athletics,Jeffrey Springs,2,T-Mobile Park,37,8.8,Excellent,5.3,9.3,9.6,9.3,2.7,5.5,9.0,,,,6.0,7.6,4.0,4.1,Pitcher vulnerability + Pitch-type matchup,False,0.6731944444444444,0.6731944444444444
39,Kyle Schwarber,Philadelphia Phillies,Atlanta Braves,Martín Pérez,1,Citizens Bank Park,115,8.7,Excellent,9.4,9.4,3.0,9.4,6.2,6.6,10.0,79.7,6.027298699999999,358.0,3.5,8.0,4.8,8.5,Lineup context + Hitter skill,False,0.6722222222222222,0.6722222222222222
