model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Heriberto Hernández,Miami Marlins,New York Mets,Sean Manaea,1,loanDepot park,135.0,10.0,Elite,9.4,9.0,9.2,9.0,7.1,6.5,10.0,84.02,3.106855,131.0,9.1,8.3,4.2,7.1,Lineup context + Hitter skill,False,0.8584722222222221,0.8584722222222221
2,Yohandy Morales,Washington Nationals,San Diego Padres,Casey Mize,7,Petco Park,105.0,10.0,Elite,9.4,10.0,8.6,10.0,5.7,5.5,4.0,94.1,8.015685900000001,307.0,9.6,10.0,9.3,6.3,Pitch-type matchup + Recent power,False,0.8388888888888889,0.8388888888888889
3,Pete Alonso,Baltimore Orioles,Cleveland Guardians,Tanner Bibee,2,Oriole Park at Camden Yards,110.0,9.9,,10.0,8.2,6.4,8.2,6.0,6.5,9.0,77.36,4.2253228,148.0,7.3,8.9,9.0,9.7,Hitter skill + Lineup context,False,0.8015277777777777,0.8015277777777777
4,Kazuma Okamoto,Toronto Blue Jays,Athletics,Jack Perkins,6,Sutter Health Park,100.0,9.9,,8.7,7.2,9.9,7.2,5.5,5.3,5.0,94.64,2.9825808,22.0,6.9,9.2,6.9,9.2,Pitcher vulnerability + Hitter skill,False,0.7958333333333332,0.7958333333333332
5,Eduardo Valencia,Detroit Tigers,Minnesota Twins,Dean Kremer,5,Comerica Park,100.0,9.9,,9.8,8.4,8.9,8.4,5.5,6.6,6.0,78.08,6.21371,187.0,3.7,8.9,4.3,3.6,Hitter skill + Pitcher vulnerability,False,0.78875,0.78875
6,Otto Lopez,Miami Marlins,New York Mets,Sean Manaea,2,loanDepot park,135.0,9.8,,9.7,5.4,9.2,5.4,7.1,6.5,9.0,84.02,3.106855,131.0,3.7,6.5,7.6,6.3,Hitter skill + Pitcher vulnerability,False,0.7837499999999998,0.7837499999999998
7,Corey Seager,Texas Rangers,Seattle Mariners,Bryce Miller,2,T-Mobile Park,37.0,9.8,,8.2,6.0,9.6,6.0,2.7,6.7,9.0,70.52,8.947742400000001,348.0,9.3,8.7,9.3,9.0,Pitcher vulnerability + Recent power,False,0.782361111111111,0.782361111111111
8,Jackson Chourio,Milwaukee Brewers,Chicago Cubs,David Peterson,1,American Family Field,88.0,9.8,,9.6,6.4,8.3,6.4,5.0,6.6,10.0,75.74000000000001,5.840887400000001,167.0,3.7,6.5,7.5,8.7,Lineup context + Hitter skill,False,0.7761111111111112,0.7761111111111112
9,Wyatt Langford,Texas Rangers,Seattle Mariners,Bryce Miller,5,T-Mobile Park,37.0,9.7,,8.4,9.5,9.6,9.5,2.7,6.7,6.0,70.52,8.947742400000001,348.0,3.7,2.5,9.6,7.3,Pitcher vulnerability + Pitch-type matchup,False,0.7756944444444444,0.7756944444444444
10,Alejandro Kirk,Toronto Blue Jays,Athletics,Jack Perkins,4,Sutter Health Park,100.0,9.7,,6.5,9.2,9.9,9.2,5.5,5.3,7.0,94.64,2.9825808,22.0,7.7,7.8,7.4,9.6,Pitcher vulnerability + Pitch-type matchup,False,0.7681944444444444,0.7681944444444444
11,Danny Jansen,Texas Rangers,Seattle Mariners,Bryce Miller,9,T-Mobile Park,37.0,9.7,,9.2,9.9,9.6,9.9,2.7,6.7,2.0,70.52,8.947742400000001,348.0,3.7,9.2,3.0,2.1,Pitch-type matchup + Pitcher vulnerability,False,0.7655555555555554,0.7655555555555554
12,Kody Clemens,Minnesota Twins,Detroit Tigers,Drew Anderson,3,Comerica Park,100.0,9.6,,8.1,9.0,7.4,9.0,5.5,6.6,8.0,78.08,6.21371,187.0,3.7,9.5,9.7,9.1,Pitch-type matchup + Hitter skill,False,0.7594444444444444,0.7594444444444444
13,Tim Tawa,Arizona Diamondbacks,Kansas City Royals,Michael Wacha,7,Kauffman Stadium,168.0,9.6,,9.5,8.2,8.0,8.2,8.6,5.4,4.0,96.26,7.1457665,180.0,3.7,8.5,6.0,4.0,Hitter skill + Ballpark,False,0.7569444444444445,0.7569444444444445
14,Junior Caminero,Tampa Bay Rays,Atlanta Braves,AJ Smith-Shawver,3,Truist Park,100.0,9.6,,9.9,9.3,4.6,9.3,5.5,6.6,8.0,84.91999999999999,8.077823,94.0,6.6,7.0,9.1,9.9,Hitter skill + Pitch-type matchup,False,0.7491666666666666,0.7491666666666666
15,Yordan Alvarez,Houston Astros,Philadelphia Phillies,Andrew Painter,2,Citizens Bank Park,115.0,9.5,,9.0,7.8,7.1,7.8,6.2,6.5,9.0,78.08,3.7903631,87.0,6.9,3.9,9.4,5.3,Hitter skill + Lineup context,False,0.7429166666666666,0.7429166666666666
16,Josh Bell,Minnesota Twins,Detroit Tigers,Drew Anderson,5,Comerica Park,100.0,9.5,,9.5,7.0,7.4,7.0,5.5,6.6,6.0,78.08,6.21371,187.0,7.7,4.4,6.3,7.4,Hitter skill + Recent power,False,0.7358333333333333,0.7358333333333333
17,Rafael Flores Jr.,Pittsburgh Pirates,Chicago White Sox,Sean Burke,7,Rate Field,69.0,9.5,,9.8,9.1,6.1,9.1,4.1,5.5,4.0,,,,6.9,8.7,6.0,7.7,Hitter skill + Pitch-type matchup,False,0.7343055555555555,0.7343055555555555
18,Ketel Marte,Arizona Diamondbacks,Kansas City Royals,Michael Wacha,2,Kauffman Stadium,168.0,9.4,,7.5,8.3,8.0,8.3,8.6,5.4,9.0,96.26,7.1457665,180.0,7.7,4.3,5.6,7.4,Lineup context + Ballpark,False,0.731388888888889,0.731388888888889
19,Vladimir Guerrero Jr.,Toronto Blue Jays,Athletics,Jack Perkins,3,Sutter Health Park,100.0,9.4,,9.3,2.1,9.9,2.1,5.5,5.3,8.0,94.64,2.9825808,22.0,3.7,6.1,9.1,9.4,Pitcher vulnerability + Hitter skill,False,0.73125,0.73125
20,Vinnie Pasquantino,Kansas City Royals,Arizona Diamondbacks,Corbin Burnes,3,Kauffman Stadium,168.0,9.4,,9.6,5.5,5.5,5.5,8.6,5.4,8.0,96.26,7.1457665,180.0,9.1,8.7,9.8,9.6,Hitter skill + Recent power,False,0.7305555555555556,0.7305555555555556
21,Jeremy Peña,Houston Astros,Philadelphia Phillies,Andrew Painter,1,Citizens Bank Park,115.0,9.3,,9.7,6.5,7.1,6.5,6.2,6.5,10.0,78.08,3.7903631,87.0,3.7,8.1,4.5,2.6,Lineup context + Hitter skill,False,0.7226388888888889,0.7226388888888889
22,Cal Raleigh,Seattle Mariners,Texas Rangers,Cal Quantrill,4,T-Mobile Park,37.0,9.3,,8.9,7.3,5.8,7.3,2.7,6.7,7.0,70.52,8.947742400000001,348.0,8.2,9.9,9.7,9.8,Hitter skill + Recent power,False,0.716111111111111,0.716111111111111
23,Kevin McGonigle,Detroit Tigers,Minnesota Twins,Dean Kremer,1,Comerica Park,100.0,9.3,,6.3,7.9,8.9,7.9,5.5,6.6,10.0,78.08,6.21371,187.0,6.4,8.4,6.1,6.6,Lineup context + Pitcher vulnerability,False,0.7151388888888889,0.7151388888888889
24,Royce Lewis,Minnesota Twins,Detroit Tigers,Drew Anderson,6,Comerica Park,100.0,9.2,,8.8,6.4,7.4,6.4,5.5,6.6,5.0,78.08,6.21371,187.0,3.7,9.8,8.9,7.0,Hitter skill + Pitcher vulnerability,False,0.7119444444444445,0.7119444444444445
