model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Cal Raleigh,Seattle Mariners,Athletics,Kade Morris,4,T-Mobile Park,37,10.0,Elite,9.8,7.3,9.3,7.3,2.7,5.5,7.0,,,,9.1,8.9,6.3,9.0,Hitter skill + Pitcher vulnerability,False,0.81875,0.81875
2,Heriberto Hernández,Miami Marlins,Chicago Cubs,Shota Imanaga,1,loanDepot park,135,10.0,Elite,8.6,7.7,9.0,7.7,7.1,6.5,10.0,83.12,3.2311292000000003,112.0,7.0,9.2,4.4,8.7,Lineup context + Pitcher vulnerability,False,0.8070833333333333,0.8070833333333333
3,Carter Jensen,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,1,Kauffman Stadium,168,9.9,Elite,7.8,7.2,9.9,7.2,8.6,5.5,10.0,96.98,8.2642343,177.0,9.8,8.2,4.1,8.2,Lineup context + Pitcher vulnerability,False,0.804027777777778,0.804027777777778
4,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,2,Kauffman Stadium,168,9.9,Elite,9.1,5.9,9.9,5.9,8.6,5.5,9.0,96.98,8.2642343,177.0,3.8,6.6,6.2,8.1,Pitcher vulnerability + Hitter skill,False,0.7968055555555557,0.7968055555555557
5,Spencer Jones,New York Yankees,San Diego Padres,Walker Buehler,4,Petco Park,105,9.9,Elite,9.6,9.8,7.1,9.8,5.7,5.5,7.0,,,,9.7,7.9,3.8,8.4,Pitch-type matchup + Recent power,False,0.7947222222222221,0.7947222222222221
6,Vinnie Pasquantino,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,5,Kauffman Stadium,168,9.8,Elite,9.8,3.6,9.9,3.6,8.6,5.5,6.0,96.98,8.2642343,177.0,3.8,7.1,9.6,9.1,Pitcher vulnerability + Hitter skill,False,0.7855555555555557,0.7855555555555557
7,Ben Rice,New York Yankees,San Diego Padres,Walker Buehler,1,Petco Park,105,9.8,Elite,9.8,9.2,7.1,9.2,5.7,5.5,10.0,,,,3.8,6.3,5.9,6.9,Lineup context + Hitter skill,False,0.7793055555555555,0.7793055555555555
8,Ezequiel Duran,Texas Rangers,Tampa Bay Rays,Nick Martinez,5,Globe Life Field,94,9.8,Elite,9.8,4.7,8.8,4.7,5.2,5.5,6.0,96.62,7.456452,167.0,9.1,6.0,7.6,8.2,Hitter skill + Recent power,False,0.7598611111111111,0.7598611111111111
9,Jonathan Aranda,Tampa Bay Rays,Texas Rangers,Trevor Williams,2,Globe Life Field,94,9.7,Elite,8.7,6.5,7.6,6.5,5.2,5.5,9.0,96.62,7.456452,167.0,7.4,6.0,8.6,8.9,Lineup context + Hitter skill,False,0.7365277777777777,0.7365277777777777
10,Spencer Torkelson,Detroit Tigers,Cleveland Guardians,Logan Allen,7,Progressive Field,60,9.7,Elite,9.3,6.4,9.6,6.4,3.7,6.6,4.0,73.75999999999999,7.3943149,195.0,8.5,4.4,1.9,5.5,Pitcher vulnerability + Hitter skill,False,0.73625,0.73625
11,Colson Montgomery,Chicago White Sox,Minnesota Twins,Zebby Matthews,5,Rate Field,69,9.7,Elite,8.9,7.6,7.3,7.6,4.1,5.5,6.0,,,,7.0,6.7,9.3,8.1,Hitter skill + Pitch-type matchup,False,0.7312500000000001,0.7312500000000001
12,Rafael Devers,San Francisco Giants,New York Mets,Nolan McLean,2,Citi Field,101,9.7,Elite,9.7,9.6,3.1,9.6,5.5,6.5,9.0,78.98,3.9146373,297.0,9.7,9.6,7.5,9.9,Hitter skill + Recent power,False,0.7279166666666667,0.7279166666666667
13,Zack Gelof,Athletics,Seattle Mariners,Logan Gilbert,3,T-Mobile Park,37,9.6,Elite,9.9,9.2,5.7,9.2,2.7,5.5,8.0,,,,9.1,6.5,4.6,5.3,Hitter skill + Pitch-type matchup,False,0.7268055555555556,0.7268055555555556
14,Leo Bernal,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,5,Coors Field,207,9.6,Elite,6.7,9.2,6.5,9.2,10.0,5.5,6.0,,,,8.7,8.4,10.0,10.0,Ballpark + Pitch-type matchup,False,0.7201388888888889,0.7201388888888889
