model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,production_score,ranking_score
1,Alec Burleson,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,3,Coors Field,207,10.0,Elite,10.0,7.3,9.0,7.3,10.0,5.9,8.0,87.26,4.349597,46.0,3.4,4.7,8.7,8.2,Hitter skill + Ballpark,False,0.8308333333333333,0.8308333333333333
2,Ronald Acuña Jr.,Atlanta Braves,Philadelphia Phillies,Aaron Nola,2,Citizens Bank Park,115,10.0,Elite,9.6,8.4,8.4,8.4,6.2,6.6,9.0,77.18,5.530201900000001,24.0,8.9,7.4,5.5,7.8,Hitter skill + Lineup context,False,0.8266666666666665,0.8266666666666665
3,Joshua Báez,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,6,Coors Field,207,9.9,Elite,7.9,9.9,9.0,9.9,10.0,5.9,5.0,87.26,4.349597,46.0,9.7,6.0,7.0,8.6,Ballpark + Pitch-type matchup,False,0.8137500000000001,0.8137500000000001
4,Sal Stewart,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,3,Great American Ball Park,81,9.9,Elite,9.8,7.2,9.9,7.2,4.6,6.6,8.0,78.25999999999999,8.2642343,50.0,3.4,6.7,3.8,8.5,Pitcher vulnerability + Hitter skill,False,0.8105555555555556,0.8105555555555556
5,Bobby Witt Jr.,Kansas City Royals,Toronto Blue Jays,Spencer Arrighetti,2,Kauffman Stadium,168,9.9,Elite,9.2,7.0,8.7,7.0,8.6,5.3,9.0,92.12,2.7340324000000003,159.0,6.9,7.9,6.3,8.6,Hitter skill + Lineup context,False,0.8048611111111109,0.8048611111111109
6,Corey Seager,Texas Rangers,Tampa Bay Rays,Ian Seymour,2,Globe Life Field,94,9.8,Elite,9.0,8.2,8.1,8.2,5.2,5.3,9.0,96.08,3.9767744,72.0,6.9,8.8,9.5,9.4,Hitter skill + Lineup context,False,0.8030555555555554,0.8030555555555554
7,Tyler Stephenson,Cincinnati Reds,Milwaukee Brewers,Kyle Harrison,4,Great American Ball Park,81,9.8,Elite,8.4,7.3,9.9,7.3,4.6,6.6,7.0,78.25999999999999,8.2642343,50.0,9.2,9.9,8.2,4.8,Pitcher vulnerability + Recent power,False,0.8004166666666667,0.8004166666666667
8,Pete Crow-Armstrong,Chicago Cubs,Miami Marlins,Tyler Phillips,1,loanDepot park,135,9.8,Elite,8.6,9.8,7.2,9.8,7.1,6.6,10.0,84.56,5.0331051,225.0,6.1,9.0,7.6,8.4,Lineup context + Pitch-type matchup,False,0.8001388888888888,0.8001388888888888
9,Daylen Lile,Washington Nationals,Los Angeles Dodgers,Justin Wrobleski,6,UNIQLO Field at Dodger Stadium,124,9.7,Elite,8.5,7.5,9.3,7.5,6.6,5.5,5.0,,,,9.4,9.5,8.2,8.3,Recent power + Pitcher vulnerability,False,0.7980555555555556,0.7980555555555556
10,Jordan Walker,St. Louis Cardinals,Colorado Rockies,Tanner Gordon,4,Coors Field,207,9.7,Elite,7.8,7.7,9.0,7.7,10.0,5.9,7.0,87.26,4.349597,46.0,5.9,9.6,9.6,8.8,Ballpark + Pitcher vulnerability,False,0.7956944444444446,0.7956944444444446
